,season,Week,home,away,favorite,favorite_odds
TB_CAR,2017,16,CAR,TB,CAR,0.8024884722955807
CLE_CHI,2017,16,CHI,CLE,CHI,0.6787193002976218
DET_CIN,2017,16,CIN,DET,DET,0.6238105577990087
MIA_KC,2017,16,KC,MIA,KC,0.8249206799757265
BUF_NE,2017,16,NE,BUF,NE,0.8256735511850462
ATL_NO,2017,16,NO,ATL,NO,0.6820330583918857
LAC_NYJ,2017,16,NYJ,LAC,LAC,0.7360049076569294
LAR_TEN,2017,16,TEN,LAR,LAR,0.6798642902892845
DEN_WAS,2017,16,WAS,DEN,WAS,0.6015068030842042
JAC_SF,2017,16,SF,JAC,JAC,0.6497933273203237
NYG_ARI,2017,16,ARI,NYG,ARI,0.609606120003792
SEA_DAL,2017,16,DAL,SEA,DAL,0.6471972143746907
IND_BAL,2017,16,BAL,IND,BAL,0.8712655986512918
MIN_GB,2017,16,GB,MIN,MIN,0.789364603799443
PIT_HOU,2017,16,HOU,PIT,PIT,0.7779637089559367
OAK_PHI,2017,16,PHI,OAK,PHI,0.7806572086632095
