,season,Week,home,away,favorite,homeML,awayML,favorite_odds
DAL_ARI,2017,3,DAL,ARI,DAL,-160.0,140.0,0.5962732919254659
OAK_WAS,2017,3,OAK,WAS,OAK,-200.0,170.0,0.6428571428571429
CIN_GB,2017,3,CIN,GB,GB,135.0,-160.0,0.5911949685534592
KC_LAC,2017,3,KC,LAC,KC,-150.0,130.0,0.5798319327731092
SEA_TEN,2017,3,SEA,TEN,TEN,110.0,-130.0,0.5427435387673957
DEN_BUF,2017,3,DEN,BUF,DEN,-190.0,160.0,0.6301020408163266
NO_CAR,2017,3,NO,CAR,CAR,210.0,-260.0,0.6912521440823327
PIT_CHI,2017,3,PIT,CHI,PIT,-350.0,275.0,0.7446808510638298
ATL_DET,2017,3,ATL,DET,ATL,-160.0,140.0,0.5962732919254659
CLE_IND,2017,3,CLE,IND,CLE,-120.0,100.0,0.5217391304347826
TB_MIN,2017,3,TB,MIN,MIN,-110.0,-110.0,0.5
HOU_NE,2017,3,HOU,NE,NE,800.0,-1401.0,0.8936215450035436
MIA_NYJ,2017,3,MIA,NYJ,MIA,-250.0,200.0,0.6818181818181818
NYG_PHI,2017,3,NYG,PHI,PHI,190.0,-240.0,0.6718146718146719
BAL_JAC,2017,3,BAL,JAC,BAL,-180.0,150.0,0.6164383561643836
LAR_SF,2017,3,LAR,SF,LAR,-155.0,135.0,0.5882115462252725
